Line,Station Name,Daytime Routes,Borough Name,Complex Id,Division,Gtfs Stop Id,North Direction Label,South Direction Label,Station Geom,Station Id,Structure,Station Lat,Station Lon
Sea Beach,Bay Pkwy,N,Brooklyn,76,BMT,N07,Manhattan,Coney Island,POINT(-73.981848 40.611815),76,Open Cut,40.611815,-73.981848
Sea Beach,Kings Hwy,N,Brooklyn,77,BMT,N08,Manhattan,Coney Island,POINT(-73.980353 40.603923),77,Open Cut,40.603923,-73.980353
Sea Beach,Avenue U,N,Brooklyn,78,BMT,N09,Manhattan,Coney Island,POINT(-73.979137 40.597473),78,Open Cut,40.597473,-73.979137
Sea Beach,86 St,N,Brooklyn,79,BMT,N10,Manhattan,Coney Island,POINT(-73.97823 40.592721),79,Open Cut,40.592721,-73.97823
Jamaica,121 St,J Z,Queens,80,BMT,J12,Jamaica,Manhattan,POINT(-73.828294 40.700492),80,Elevated,40.700492,-73.828294
Jamaica,111 St,J,Queens,81,BMT,J13,Jamaica,Manhattan,POINT(-73.836345 40.697418),81,Elevated,40.697418,-73.836345
Jamaica,104 St,J Z,Queens,82,BMT,J14,Jamaica,Manhattan,POINT(-73.84433 40.695178),82,Elevated,40.695178,-73.84433
Jamaica,Woodhaven Blvd,J Z,Queens,83,BMT,J15,Jamaica,Manhattan,POINT(-73.851576 40.693879),83,Elevated,40.693879,-73.851576
Jamaica,85 St - Forest Pkwy,J,Queens,84,BMT,J16,Jamaica,Manhattan,POINT(-73.86001 40.692435),84,Elevated,40.692435,-73.86001
Jamaica,75 St,J Z,Queens,85,BMT,J17,Jamaica,Manhattan,POINT(-73.867139 40.691324),85,Elevated,40.691324,-73.867139
Jamaica,Cypress Hills,J,Brooklyn,86,BMT,J19,Jamaica,Manhattan,POINT(-73.87255 40.689941),86,Elevated,40.689941,-73.87255
Jamaica,Crescent St,J Z,Brooklyn,87,BMT,J20,Jamaica,Manhattan,POINT(-73.873785 40.683194),87,Elevated,40.683194,-73.873785
Jamaica,Norwood Av,J Z,Brooklyn,88,BMT,J21,Jamaica,Manhattan,POINT(-73.880039 40.68141),88,Elevated,40.68141,-73.880039
Jamaica,Cleveland St,J,Brooklyn,89,BMT,J22,Jamaica,Manhattan,POINT(-73.884639 40.679947),89,Elevated,40.679947,-73.884639
Jamaica,Van Siclen Av,J Z,Brooklyn,90,BMT,J23,Jamaica,Manhattan,POINT(-73.891688 40.678024),90,Elevated,40.678024,-73.891688
Jamaica,Alabama Av,J,Brooklyn,91,BMT,J24,Jamaica,Manhattan,POINT(-73.898654 40.676992),91,Elevated,40.676992,-73.898654
Jamaica,Broadway Jct,J Z,Brooklyn,621,BMT,J27,Jamaica,Manhattan,POINT(-73.904512 40.679498),92,Elevated,40.679498,-73.904512
Jamaica,Chauncey St,J Z,Brooklyn,93,BMT,J28,Jamaica,Manhattan,POINT(-73.910456 40.682893),93,Elevated,40.682893,-73.910456
Jamaica,Halsey St,J,Brooklyn,94,BMT,J29,Jamaica,Manhattan,POINT(-73.916559 40.68637),94,Elevated,40.68637,-73.916559
Jamaica,Gates Av,J Z,Brooklyn,95,BMT,J30,Jamaica,Manhattan,POINT(-73.92227 40.68963),95,Elevated,40.68963,-73.92227
